name	type	salience	wikipedia_url
analytics-prod プロジェクト	OTHER	0.17509843	
Query	OTHER	0.1599058	
費用	OTHER	0.13782462	
asia-northeast1	CONSUMER_GOOD	0.1194939	
予算	OTHER	0.11357992	
FinOps チーム	ORGANIZATION	0.077782266	
必要	OTHER	0.076256946	
未使用リソース	OTHER	0.07136873	
クエリ	CONSUMER_GOOD	0.06868936	
